date,state,crop,modal_price
2025-05-19,Haryana,Onion,1000
2025-05-19,Haryana,Potato,1200
2025-05-19,Haryana,Lemon,8000
2025-05-19,Haryana,Bottle gourd,500
2025-05-19,Haryana,Brinjal,700
2025-05-19,Haryana,Mango,2000
2025-05-19,Haryana,Onion,500
2025-05-19,Haryana,Pomegranate,5000
2025-05-19,Haryana,Potato,600
2025-05-19,Haryana,Tomato,500
2025-05-19,Haryana,Bottle gourd,700
2025-05-19,Haryana,Green Chilli,2000
2025-05-19,Haryana,Karbuja(Musk Melon),1000
2025-05-19,Haryana,Long Melon(Kakri),1000
2025-05-19,Haryana,Onion,1000
2025-05-19,Haryana,Ridgeguard(Tori),1000
2025-05-19,Haryana,Water Melon,600
2025-05-19,Haryana,Banana,2000
2025-05-19,Haryana,Bhindi(Ladies Finger),2000
2025-05-19,Haryana,Potato,1000
2025-05-19,Haryana,Brinjal,1000
2025-05-19,Haryana,Mango,4000
2025-05-19,Haryana,Mousambi(Sweet Lime),4500
2025-05-19,Haryana,Tomato,600
2025-05-19,Haryana,Green Chilli,2000
2025-05-19,Haryana,Lemon,9500
2025-05-19,Haryana,Mango (Raw-Ripe),1800
2025-05-19,Haryana,Peas Wet,5000
2025-05-19,Haryana,Ridgeguard(Tori),1200
2025-05-19,Haryana,Tinda,2400
2025-05-19,Haryana,Yam (Ratalu),3000
2025-05-19,Haryana,Onion,1000
2025-05-19,Haryana,Potato,1000
2025-05-19,Haryana,Bottle gourd,400
2025-05-19,Haryana,Cucumbar(Kheera),400
2025-05-19,Haryana,Capsicum,1800
2025-05-19,Himachal Pradesh,Bhindi(Ladies Finger),3000
2025-05-19,Himachal Pradesh,Coriander(Leaves),3500
2025-05-19,Himachal Pradesh,French Beans (Frasbean),5000
2025-05-19,Himachal Pradesh,Green Chilli,5000
2025-05-19,Himachal Pradesh,Onion,1800
2025-05-19,Himachal Pradesh,Brinjal,2000
2025-05-19,Himachal Pradesh,Cucumbar(Kheera),1600
2025-05-19,Himachal Pradesh,Onion,1600
2025-05-19,Himachal Pradesh,Tomato,1500
2025-05-19,Himachal Pradesh,Water Melon,1400
2025-05-19,Himachal Pradesh,Banana,4300
2025-05-19,Himachal Pradesh,Coriander(Leaves),4000
2025-05-19,Himachal Pradesh,Cucumbar(Kheera),1500
2025-05-19,Himachal Pradesh,Onion,2000
2025-05-19,Himachal Pradesh,Papaya,4000
2025-05-19,Himachal Pradesh,French Beans (Frasbean),7000
2025-05-19,Himachal Pradesh,Grapes,9000
2025-05-19,Himachal Pradesh,Mango,5000
2025-05-19,Himachal Pradesh,Papaya,3000
2025-05-19,Himachal Pradesh,Plum,5000
2025-05-19,Himachal Pradesh,Spinach,2500
2025-05-19,Himachal Pradesh,Apple,15000
2025-05-19,Himachal Pradesh,Bhindi(Ladies Finger),3200
2025-05-19,Himachal Pradesh,Carrot,2000
2025-05-19,Himachal Pradesh,Coriander(Leaves),4500
2025-05-19,Himachal Pradesh,Cucumbar(Kheera),1600
2025-05-19,Himachal Pradesh,Ginger(Green),6000
2025-05-19,Himachal Pradesh,Lemon,9000
2025-05-19,Himachal Pradesh,Tomato,1200
2025-05-19,Himachal Pradesh,Banana,4700
2025-05-19,Himachal Pradesh,Bottle gourd,2000
2025-05-19,Himachal Pradesh,Capsicum,3000
2025-05-19,Himachal Pradesh,Garlic,9500
2025-05-19,Himachal Pradesh,Grapes,10000
2025-05-19,Himachal Pradesh,Mashrooms,15000
2025-05-19,Himachal Pradesh,Peas Wet,8500
2025-05-19,Himachal Pradesh,Sponge gourd,2800
2025-05-19,Himachal Pradesh,Brinjal,1000
2025-05-19,Himachal Pradesh,Karbuja(Musk Melon),1800
2025-05-19,Himachal Pradesh,Lemon,9000
2025-05-19,Himachal Pradesh,Tomato,1000
2025-05-19,Himachal Pradesh,Water Melon,1000
2025-05-19,Himachal Pradesh,Bhindi(Ladies Finger),3000
2025-05-19,Himachal Pradesh,Brinjal,2300
2025-05-19,Himachal Pradesh,Karbuja(Musk Melon),2000
2025-05-19,Himachal Pradesh,Lemon,8000
2025-05-19,Himachal Pradesh,Mashrooms,14500
2025-05-19,Himachal Pradesh,Papaya,4000
2025-05-19,Himachal Pradesh,Potato,1200
2025-05-19,Himachal Pradesh,Water Melon,1000
2025-05-19,Jammu and Kashmir,Bottle gourd,700
2025-05-19,Jammu and Kashmir,Garlic,6000
2025-05-19,Jammu and Kashmir,Knool Khol,1000
2025-05-19,Jammu and Kashmir,Mashrooms,10000
2025-05-19,Jammu and Kashmir,Onion,1200
2025-05-19,Jammu and Kashmir,Bhindi(Ladies Finger),3500
2025-05-19,Jammu and Kashmir,Capsicum,3500
2025-05-19,Jammu and Kashmir,Mango,6000
2025-05-19,Kerala,Bitter gourd,7500
2025-05-19,Kerala,Cabbage,2800
2025-05-19,Kerala,Cucumbar(Kheera),1900
2025-05-19,Kerala,Onion,1900
2025-05-19,Kerala,Potato,3300
2025-05-19,Kerala,Amaranthus,5000
2025-05-19,Kerala,Banana - Green,3200
2025-05-19,Kerala,Beetroot,4000
2025-05-19,Kerala,Cabbage,3300
2025-05-19,Kerala,Cowpea(Veg),4500
2025-05-19,Kerala,Little gourd (Kundru),3200
2025-05-19,Kerala,Beetroot,4000
2025-05-19,Kerala,Green Chilli,4000
2025-05-19,Kerala,Ashgourd,2000
2025-05-19,Kerala,Bitter gourd,7800
2025-05-19,Kerala,Colacasia,6000
2025-05-19,Kerala,Ashgourd,2000
2025-05-19,Kerala,Bhindi(Ladies Finger),2600
2025-05-19,Kerala,Bitter gourd,6500
2025-05-19,Kerala,Bottle gourd,2000
2025-05-19,Kerala,Brinjal,3200
2025-05-19,Kerala,Colacasia,5000
2025-05-19,Kerala,Onion,2400
2025-05-19,Kerala,Tapioca,3000
2025-05-19,Kerala,Ashgourd,1500
2025-05-19,Kerala,Banana,2900
2025-05-19,Kerala,Bitter gourd,7000
2025-05-19,Kerala,Black pepper,70000
2025-05-19,Kerala,Bottle gourd,1500
2025-05-19,Kerala,Brinjal,2800
2025-05-19,Kerala,Ginger(Green),5000
2025-05-19,Kerala,Banana - Green,4300
2025-05-19,Kerala,Bhindi(Ladies Finger),2600
2025-05-19,Kerala,Brinjal,2200
2025-05-19,Kerala,Colacasia,4800
2025-05-19,Kerala,Lemon,7500
2025-05-19,Kerala,Potato,2400
2025-05-19,Kerala,Pumpkin,1000
2025-05-19,Kerala,Snakeguard,2200
2025-05-19,Kerala,Ashgourd,2400
2025-05-19,Kerala,Banana,3000
2025-05-19,Kerala,Capsicum,7000
2025-05-19,Kerala,Carrot,4800
2025-05-19,Kerala,Cowpea(Veg),4000
2025-05-19,Kerala,Lemon,13000
2025-05-19,Kerala,Banana,5400
2025-05-19,Kerala,Bhindi(Ladies Finger),3400
2025-05-19,Kerala,Coconut Oil,28500
2025-05-19,Kerala,Bitter gourd,8000
2025-05-19,Kerala,Colacasia,6000
2025-05-19,Kerala,Banana,1500
2025-05-19,Kerala,Indian Beans (Seam),7800
2025-05-19,Kerala,Mango (Raw-Ripe),3000
2025-05-19,Kerala,Tapioca,3000
2025-05-19,Kerala,Ashgourd,1600
2025-05-19,Kerala,Amphophalus,6500
2025-05-19,Kerala,Banana,4800
2025-05-19,Kerala,Beetroot,4000
2025-05-19,Kerala,Bhindi(Ladies Finger),3000
2025-05-19,Kerala,Cabbage,2800
2025-05-19,Kerala,Coconut Seed,6000
2025-05-19,Kerala,Cowpea(Veg),5500
2025-05-19,Kerala,Cucumbar(Kheera),1600
2025-05-19,Kerala,Drumstick,10500
2025-05-19,Kerala,Bhindi(Ladies Finger),1900
2025-05-19,Kerala,Brinjal,2000
2025-05-19,Kerala,Cauliflower,2500
2025-05-19,Kerala,Cluster beans,1700
2025-05-19,Kerala,Green Chilli,2600
2025-05-19,Kerala,Potato,2300
2025-05-19,Kerala,Bhindi(Ladies Finger),3000
2025-05-19,Kerala,French Beans (Frasbean),8700
2025-05-19,Kerala,Pumpkin,1300
2025-05-19,Kerala,Raddish,2800
2025-05-19,Kerala,Bitter gourd,5000
2025-05-19,Kerala,Carrot,2600
2025-05-19,Kerala,Ashgourd,1000
2025-05-19,Kerala,Beetroot,3100
2025-05-19,Kerala,Carrot,2500
2025-05-19,Kerala,Cowpea (Lobia/Karamani),2300
2025-05-19,Kerala,Cucumbar(Kheera),5000
2025-05-19,Kerala,Onion,1800
2025-05-19,Kerala,Raddish,2300
2025-05-19,Kerala,Snakeguard,2400
2025-05-19,Kerala,Tomato,1500
2025-05-19,Kerala,Banana - Green,3000
2025-05-19,Kerala,Bhindi(Ladies Finger),3500
2025-05-19,Kerala,Cabbage,1500
2025-05-19,Kerala,Capsicum,5000
2025-05-19,Kerala,Ginger(Green),3500
2025-05-19,Kerala,Lemon,8000
2025-05-19,Kerala,Ashgourd,1000
2025-05-19,Kerala,Banana,4500
2025-05-19,Kerala,Bitter gourd,6000
2025-05-19,Kerala,Bottle gourd,2400
2025-05-19,Kerala,Colacasia,6800
2025-05-19,Kerala,Elephant Yam (Suran),5800
2025-05-19,Kerala,Garlic,12500
2025-05-19,Kerala,Green Chilli,3500
2025-05-19,Kerala,Onion,2000
2025-05-19,Kerala,Banana,3000
2025-05-19,Kerala,Cowpea(Veg),5200
2025-05-19,Kerala,Banana,800
2025-05-19,Kerala,Banana - Green,4500
2025-05-19,Kerala,Ashgourd,1400
2025-05-19,Kerala,Cauliflower,4000
2025-05-19,Kerala,Cucumbar(Kheera),1500
2025-05-19,Kerala,Snakeguard,2500
2025-05-19,Kerala,Elephant Yam (Suran),4000
2025-05-19,Kerala,Green Chilli,5800
2025-05-19,Madhya Pradesh,Tomato,900
2025-05-19,Nagaland,Beans,8000
2025-05-19,Odisha,Onion,1800
2025-05-19,Odisha,Potato,1300
2025-05-19,Odisha,Water Melon,1100
2025-05-19,Odisha,Onion,1800
2025-05-19,Odisha,Pointed gourd (Parval),3500
2025-05-19,Odisha,Ridgeguard(Tori),2500
2025-05-19,Odisha,Onion,2000
2025-05-19,Odisha,Brinjal,1500
2025-05-19,Odisha,Cucumbar(Kheera),4000
2025-05-19,Odisha,Bhindi(Ladies Finger),3500
2025-05-19,Odisha,Cauliflower,3000
2025-05-19,Odisha,Green Chilli,6000
2025-05-19,Odisha,Brinjal,1300
2025-05-19,Odisha,Tomato,1300
2025-05-19,Odisha,Pumpkin,1000
2025-05-19,Odisha,Pointed gourd (Parval),3000
2025-05-19,Odisha,Pumpkin,1500
2025-05-19,Odisha,Potato,1700
2025-05-19,Odisha,Bhindi(Ladies Finger),950
2025-05-19,Odisha,Pumpkin,1000
2025-05-19,Odisha,Brinjal,2000
2025-05-19,Odisha,Cotton,6500
2025-05-19,Odisha,Water Melon,2000
2025-05-19,Odisha,Carrot,3200
2025-05-19,Odisha,Tomato,1800
2025-05-19,Punjab,Cauliflower,600
2025-05-19,Punjab,Bhindi(Ladies Finger),2800
2025-05-19,Punjab,Tomato,1200
2025-05-19,Punjab,Garlic,3000
2025-05-19,Punjab,Mango,4000
2025-05-19,Punjab,Green Chilli,4000
2025-05-19,Punjab,Pumpkin,1000
2025-05-19,Punjab,Capsicum,1500
2025-05-19,Punjab,Cauliflower,2500
2025-05-19,Punjab,Karbuja(Musk Melon),1200
2025-05-19,Punjab,Bhindi(Ladies Finger),3500
2025-05-19,Punjab,Bitter gourd,1400
2025-05-19,Punjab,Cucumbar(Kheera),1000
2025-05-19,Punjab,Field Pea,6000
2025-05-19,Punjab,Tomato,1000
2025-05-19,Punjab,Bhindi(Ladies Finger),2000
2025-05-19,Punjab,Bottle gourd,700
2025-05-19,Punjab,Bitter gourd,2500
2025-05-19,Punjab,Capsicum,700
2025-05-19,Punjab,Lemon,3000
2025-05-19,Punjab,Peas Wet,2000
2025-05-19,Punjab,Tomato,800
2025-05-19,Punjab,Capsicum,2000
2025-05-19,Punjab,Cabbage,400
2025-05-19,Punjab,Green Chilli,1500
2025-05-19,Punjab,Peas Wet,3500
2025-05-19,Punjab,Ginger(Green),4700
2025-05-19,Punjab,Grapes,7000
2025-05-19,Punjab,Green Chilli,1600
2025-05-19,Punjab,Karbuja(Musk Melon),1300
2025-05-19,Punjab,Lime,8000
2025-05-19,Punjab,Mango,3200
2025-05-19,Punjab,Mousambi(Sweet Lime),4000
2025-05-19,Punjab,Apricot(Jardalu/Khumani),2800
2025-05-19,Punjab,Banana,3200
2025-05-19,Punjab,Green Chilli,1200
2025-05-19,Punjab,Guava,2800
2025-05-19,Punjab,Potato,600
2025-05-19,Punjab,Onion,1200
2025-05-19,Punjab,Brinjal,1500
2025-05-19,Punjab,Lemon,5000
2025-05-19,Punjab,Mint(Pudina),2000
2025-05-19,Punjab,Peas Wet,5000
2025-05-19,Punjab,Pineapple,5000
2025-05-19,Punjab,Ridgeguard(Tori),2500
2025-05-19,Punjab,Tomato,1000
2025-05-19,Punjab,Brinjal,1200
2025-05-19,Punjab,Capsicum,1200
2025-05-19,Punjab,Green Chilli,1200
2025-05-19,Punjab,Potato,400
2025-05-19,Punjab,Ridgeguard(Tori),1200
2025-05-19,Rajasthan,Cummin Seed(Jeera),18000
2025-05-19,Rajasthan,Wheat,2400
2025-05-19,Rajasthan,Bajra(Pearl Millet/Cumbu),2200
2025-05-19,Rajasthan,Cabbage,700
2025-05-19,Rajasthan,Ginger(Green),3800
2025-05-19,Rajasthan,Green Chilli,1600
2025-05-19,Rajasthan,Mango,5300
2025-05-19,Rajasthan,Pineapple,4300
2025-05-19,Rajasthan,Tinda,2100
2025-05-19,Rajasthan,Tomato,1000
2025-05-19,Rajasthan,Onion,800
2025-05-19,Rajasthan,Bitter gourd,1700
2025-05-19,Rajasthan,Capsicum,2500
2025-05-19,Rajasthan,Garlic,3000
2025-05-19,Rajasthan,Grapes,4000
2025-05-19,Rajasthan,Lemon,5000
2025-05-19,Rajasthan,Mango (Raw-Ripe),1000
2025-05-19,Rajasthan,Mustard,5390
2025-05-19,Rajasthan,Onion,1300
2025-05-19,Rajasthan,Methi Seeds,4400
2025-05-19,Rajasthan,Soanf,6500
2025-05-19,Rajasthan,Bengal Gram(Gram)(Whole),4901
2025-05-19,Rajasthan,Green Gram (Moong)(Whole),3901
2025-05-19,Rajasthan,Linseed,6600
2025-05-19,Rajasthan,Methi Seeds,4365
2025-05-19,Rajasthan,"Sesamum(Sesame,Gingelly,Til)",5500
2025-05-19,Rajasthan,Tomato,600
2025-05-19,Rajasthan,Onion,1000
2025-05-19,Telangana,Beetroot,1500
2025-05-19,Telangana,Carrot,2000
2025-05-19,Telangana,Tomato,600
2025-05-19,Telangana,Paddy(Dhan)(Common),2300
2025-05-19,Telangana,Paddy(Dhan)(Common),2300
2025-05-19,Telangana,Brinjal,1800
2025-05-19,Telangana,Ridgeguard(Tori),3500
2025-05-19,Telangana,Banana - Green,2500
2025-05-19,Telangana,Bitter gourd,3200
2025-05-19,Telangana,Brinjal,1800
2025-05-19,Telangana,Cabbage,900
2025-05-19,Telangana,Leafy Vegetable,2000
2025-05-19,Telangana,Onion,1600
2025-05-19,Telangana,Snakeguard,1800
2025-05-19,Telangana,Bitter gourd,4000
2025-05-19,Telangana,Colacasia,3500
2025-05-19,Telangana,Cucumbar(Kheera),1600
2025-05-19,Telangana,Field Pea,4500
2025-05-19,Telangana,Green Chilli,1600
2025-05-19,Telangana,Ridgeguard(Tori),4000
2025-05-19,Tripura,Bhindi(Ladies Finger),3850
2025-05-19,Tripura,Brinjal,2850
2025-05-19,Tripura,Pointed gourd (Parval),5850
2025-05-19,Tripura,Cowpea(Veg),3000
2025-05-19,Tripura,Fish,18700
2025-05-19,Tripura,Onion,2000
2025-05-19,Tripura,Pigs,3500
2025-05-19,Tripura,Pointed gourd (Parval),3500
2025-05-19,Tripura,Onion,2500
2025-05-19,Tripura,Rice,3300
2025-05-19,Tripura,Bhindi(Ladies Finger),3900
2025-05-19,Tripura,Ginger(Green),7900
2025-05-19,Tripura,Green Chilli,3900
2025-05-19,Tripura,Onion,2400
2025-05-19,Uttar Pradesh,Pumpkin,400
2025-05-19,Uttar Pradesh,Cabbage,1400
2025-05-19,Uttar Pradesh,Bitter gourd,1930
2025-05-19,Uttar Pradesh,Green Chilli,2450
2025-05-19,Uttar Pradesh,Potato,1140
2025-05-19,Uttar Pradesh,Arhar Dal(Tur Dal),11200
2025-05-19,Uttar Pradesh,Banana,1000
2025-05-19,Uttar Pradesh,Garlic,4500
2025-05-19,Uttar Pradesh,Onion,1000
2025-05-19,Uttar Pradesh,Tomato,600
2025-05-19,Uttar Pradesh,Wheat,2445
2025-05-19,Uttar Pradesh,Wood,480
2025-05-19,Uttar Pradesh,Apple,10000
2025-05-19,Uttar Pradesh,Banana - Green,1760
2025-05-19,Uttar Pradesh,Cucumbar(Kheera),1240
2025-05-19,Uttar Pradesh,Paddy(Dhan)(Common),2000
2025-05-19,Uttar Pradesh,Pumpkin,980
2025-05-19,Uttar Pradesh,Apple,10000
2025-05-19,Uttar Pradesh,Potato,1000
2025-05-19,Uttar Pradesh,Ginger(Green),2000
2025-05-19,Uttar Pradesh,Masur Dal,6000
2025-05-19,Uttar Pradesh,Mousambi(Sweet Lime),2400
2025-05-19,Uttar Pradesh,Bitter gourd,1300
2025-05-19,Uttar Pradesh,Bottle gourd,700
2025-05-19,Uttar Pradesh,Lemon,7500
2025-05-19,Uttar Pradesh,Pumpkin,700
2025-05-19,Uttar Pradesh,Onion,1600
2025-05-19,Uttar Pradesh,Pumpkin,900
2025-05-19,Uttar Pradesh,Cucumbar(Kheera),500
2025-05-19,Uttar Pradesh,Tomato,800
2025-05-19,Uttar Pradesh,Apple,6600
2025-05-19,Uttar Pradesh,Potato,800
2025-05-19,Uttar Pradesh,Bitter gourd,1500
2025-05-19,Uttar Pradesh,Cucumbar(Kheera),1300
2025-05-19,Uttar Pradesh,Onion,1500
2025-05-19,Uttar Pradesh,Onion,1200
2025-05-19,Uttar Pradesh,Tomato,600
2025-05-19,Uttar Pradesh,Wheat,2430
2025-05-19,Uttar Pradesh,Wheat,2400
2025-05-19,Uttar Pradesh,Potato,1000
2025-05-19,Uttar Pradesh,Paddy(Dhan)(Common),2400
2025-05-19,Uttar Pradesh,Potato,800
2025-05-19,Uttar Pradesh,Firewood,430
2025-05-19,Uttar Pradesh,Peas(Dry),3300
2025-05-19,Uttar Pradesh,Tomato,700
2025-05-19,Uttar Pradesh,Tomato,1500
2025-05-19,Uttar Pradesh,Wheat,2400
2025-05-19,Uttar Pradesh,Peas(Dry),3000
2025-05-19,Uttar Pradesh,Onion,1200
2025-05-19,Uttar Pradesh,Papaya,2200
2025-05-19,Uttar Pradesh,Potato,1000
2025-05-19,Uttar Pradesh,Rice,2600
2025-05-19,Uttar Pradesh,Lentil (Masur)(Whole),6000
2025-05-19,Uttar Pradesh,Banana,2435
2025-05-19,Uttar Pradesh,Bottle gourd,875
2025-05-19,Uttar Pradesh,Brinjal,1270
2025-05-19,Uttar Pradesh,Potato,1085
2025-05-19,Uttar Pradesh,Wheat,2400
2025-05-19,Uttar Pradesh,Green Chilli,3900
2025-05-19,Uttar Pradesh,Bitter gourd,800
2025-05-19,Uttar Pradesh,Cauliflower,800
2025-05-19,Uttar Pradesh,Cabbage,1138
2025-05-19,Uttar Pradesh,Bottle gourd,760
2025-05-19,Uttar Pradesh,Cucumbar(Kheera),1000
2025-05-19,Uttar Pradesh,Banana,1900
2025-05-19,Uttar Pradesh,Karbuja(Musk Melon),1500
2025-05-19,Uttar Pradesh,Pointed gourd (Parval),2000
2025-05-19,Uttar Pradesh,Potato,800
2025-05-19,Uttar Pradesh,Lemon,5700
2025-05-19,Uttar Pradesh,Firewood,300
2025-05-19,Uttar Pradesh,Papaya,2600
2025-05-19,Uttar Pradesh,Pomegranate,7700
2025-05-19,Uttar Pradesh,Potato,1000
2025-05-19,Uttrakhand,Bitter gourd,1500
2025-05-19,Uttrakhand,Cabbage,500
2025-05-19,Uttrakhand,Lime,8500
2025-05-19,Uttrakhand,Pointed gourd (Parval),2200
2025-05-19,Uttrakhand,Ridgeguard(Tori),1250
2025-05-19,Uttrakhand,Bhindi(Ladies Finger),800
2025-05-19,Uttrakhand,Brinjal,400
2025-05-19,Uttrakhand,Carrot,500
2025-05-19,Uttrakhand,Cucumbar(Kheera),500
2025-05-19,Uttrakhand,Mango,2500
2025-05-19,Uttrakhand,Papaya,1200
2025-05-19,Uttrakhand,Water Melon,500
2025-05-19,Uttrakhand,Banana,800
2025-05-19,Uttrakhand,Beans,400
2025-05-19,Uttrakhand,Bitter gourd,500
2025-05-19,Uttrakhand,Banana,2100
2025-05-19,Uttrakhand,Bitter gourd,2600
2025-05-19,Uttrakhand,Cucumbar(Kheera),2300
2025-05-19,Uttrakhand,Rice,3190
2025-05-19,West Bengal,Brinjal,3200
2025-05-19,West Bengal,Sweet Pumpkin,1300
2025-05-19,West Bengal,Bhindi(Ladies Finger),1600
2025-05-19,West Bengal,Green Chilli,4000
2025-05-19,West Bengal,Bitter gourd,900
2025-05-19,West Bengal,Fish,17400
2025-05-19,West Bengal,Mustard Oil,15400
2025-05-19,West Bengal,Rice,4200
2025-05-19,West Bengal,Rice,4800
2025-05-19,West Bengal,Green Gram Dal (Moong Dal),10000
2025-05-19,West Bengal,Lentil (Masur)(Whole),8500
2025-05-19,West Bengal,Onion,1400
2025-05-19,West Bengal,Potato,1200
2025-05-19,West Bengal,Rice,5100
2025-05-19,West Bengal,Bitter gourd,2200
2025-05-19,West Bengal,Cucumbar(Kheera),2600
2025-05-19,West Bengal,Jute,5500
2025-05-19,West Bengal,Paddy(Dhan)(Common),2300
2025-05-19,West Bengal,Lentil (Masur)(Whole),9800
2025-05-19,West Bengal,Rice,4100
2025-05-19,West Bengal,Tomato,1200
2025-05-19,West Bengal,Guava,8100
2025-05-19,West Bengal,Potato,1100
2025-05-19,West Bengal,Wheat,2500
2025-05-19,Andhra Pradesh,Banana,1900
2025-05-19,Andhra Pradesh,Banana,2800
2025-05-19,Gujarat,Bhindi(Ladies Finger),1200
2025-05-19,Gujarat,Cabbage,300
2025-05-19,Gujarat,Cauliflower,1500
2025-05-19,Gujarat,Bengal Gram(Gram)(Whole),5110
2025-05-19,Gujarat,Cummin Seed(Jeera),18550
2025-05-19,Gujarat,Jowar(Sorghum),2025
2025-05-19,Gujarat,"Sesamum(Sesame,Gingelly,Til)",8000
2025-05-19,Gujarat,Bajra(Pearl Millet/Cumbu),2315
2025-05-19,Gujarat,Castor Seed,6000
2025-05-19,Gujarat,Wheat,2305
2025-05-19,Gujarat,Castor Seed,5300
2025-05-19,Gujarat,Wheat,2800
2025-05-19,Gujarat,Maize,2000
2025-05-19,Gujarat,Bhindi(Ladies Finger),2500
2025-05-19,Gujarat,Soyabean,3000
2025-05-19,Gujarat,Brinjal,1500
2025-05-19,Gujarat,Cauliflower,3000
2025-05-19,Gujarat,Bengal Gram(Gram)(Whole),4880
2025-05-19,Gujarat,Groundnut,3805
2025-05-19,Gujarat,"Sesamum(Sesame,Gingelly,Til)",5730
2025-05-19,Gujarat,Soyabean,3382
2025-05-19,Gujarat,Wheat,2355
2025-05-19,Gujarat,Coriander(Leaves),1000
2025-05-19,Gujarat,Ginger(Green),3000
2025-05-19,Gujarat,Castor Seed,6005
2025-05-19,Gujarat,Kabuli Chana(Chickpeas-White),9000
2025-05-19,Gujarat,Wheat,2425
2025-05-19,Gujarat,Castor Seed,5900
2025-05-19,Gujarat,Mango,4750
2025-05-19,Gujarat,Beetroot,1300
2025-05-19,Gujarat,Cluster beans,3500
2025-05-19,Gujarat,French Beans (Frasbean),8000
2025-05-19,Gujarat,Groundnut pods (raw),3000
2025-05-19,Gujarat,Little gourd (Kundru),2500
2025-05-19,Gujarat,Pegeon Pea (Arhar Fali),5000
2025-05-19,Gujarat,Pumpkin,700
2025-05-19,Gujarat,Tomato,600
2025-05-19,Gujarat,Ajwan,6330
2025-05-19,Gujarat,Guar Seed(Cluster Beans Seed),3995
2025-05-19,Gujarat,Mustard,5040
2025-05-19,Gujarat,Mustard,5890
2025-05-19,Gujarat,Amaranthus,1500
2025-05-19,Gujarat,Banana - Green,1000
2025-05-19,Gujarat,Bitter gourd,3500
2025-05-19,Gujarat,Brinjal,2500
2025-05-19,Gujarat,Garlic,10000
2025-05-19,Gujarat,Mango (Raw-Ripe),1500
2025-05-19,Gujarat,Peas Wet,8500
2025-05-19,Gujarat,Bitter gourd,3000
2025-05-19,Gujarat,Cowpea(Veg),3500
2025-05-19,Gujarat,Green Chilli,1500
2025-05-19,Haryana,Chikoos(Sapota),2000
2025-05-19,Haryana,Cauliflower,1000
2025-05-19,Haryana,Mango,3000
2025-05-19,Haryana,Potato,800
2025-05-19,Haryana,Potato,700
2025-05-19,Haryana,Tomato,1000
2025-05-19,Haryana,Water Melon,800
2025-05-19,Haryana,Karbuja(Musk Melon),1250
2025-05-19,Haryana,Potato,800
2025-05-19,Haryana,Spinach,1000
2025-05-19,Haryana,Tomato,1000
2025-05-19,Haryana,Potato,500
2025-05-19,Haryana,Onion,305
2025-05-19,Haryana,Cabbage,1000
2025-05-19,Haryana,Cauliflower,2000
2025-05-19,Haryana,Onion,800
2025-05-19,Haryana,Pointed gourd (Parval),2000
2025-05-19,Haryana,Potato,1200
